movieCd,movieNm,openDt,firstCollectedDt
19868242,연지구 디 오리지널 4K,2026-03-25,20260325
19950084,쇼생크 탈출,1995-02-04,20260318
19960126,비포 선라이즈,1996-03-30,20260619
19970100,첨밀밀 ,1997-03-01,20260325
19980089,굿 윌 헌팅,1998-03-21,20260308
19980231,트루먼 쇼,1998-10-24,20260415
20030047,모노노케 히메,2003-04-25,20260221
20030316,반지의 제왕 : 왕의 귀환,2003-12-17,20260121
20040549,천공의 성 라퓨타,2004-04-30,20260121
20040695,이프 온리,2004-10-29,20260513
20040734,노트북,2004-11-26,20260604
20050082,이터널 선샤인,2005-11-10,20260125
20060033,오만과 편견,2006-03-24,20260311
20070602,마녀배달부 키키,2007-11-22,20260408
20080356,"파리, 텍사스",1987-08-29,20260318
20088147,줄무늬 파자마를 입은 소년,2026-04-23,20260423
20128386,라이프 오브 파이,2013-01-01,20260325
20138661,케이온,2013-06-13,20260318
20147727,그랜드 부다페스트 호텔,2014-03-20,20260408
20149629,비긴 어게인,2014-08-13,20260617
20163018,싱 스트리트,2016-05-19,20260610
20173226,패왕별희 디 오리지널,2017-03-30,20260401
20192680,끝장수사,2026-04-02,20260402
20194376,탑건: 매버릭,2022-06-22,20260513
20226489,리바운드,2023-04-05,20260405
20227073,신 에반게리온 극장판,2022-10-05,20260213
20227798,에반게리온 신극장판: 파,2022-10-14,20260102
20227810,에반게리온 신극장판: Q,2022-10-14,20260123
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,20260128
20228555,더 퍼스트 슬램덩크,2023-01-04,20260114
20232662,삼악도,2026-03-11,20260311
20233219,호프,2026-07-15,20260711
20236493,지느러미,2026-07-22,20260722
20240400,슈가,2026-01-21,20260119
20240532,짱구,2026-04-22,20260416
20241266,휴민트,2026-02-11,20260204
20241501,매드 댄스 오피스,2026-03-04,20260224
20241575,메소드연기,2026-03-18,20260313
20241941,좀비딸,2025-07-30,20260410
20242402,눈동자,2026-06-24,20260615
20242837,왕과 사는 남자,2026-02-04,20260127
20246318,해피엔드,2025-04-30,20260624
20246546,보이,2026-01-14,20260114
20247457,신의악단,2025-12-31,20260101
20247648,내 이름은,2026-04-15,20260402
20247690,시스터,2026-01-28,20260112
20248252,와일드 씽,2026-06-03,20260518
20248484,신사: 악귀의 속삭임,2026-06-17,20260608
20249255,만약에 우리,2025-12-31,20260101
20249507,극장판 하이큐!! 쓰레기장의 결전,2024-05-15,20260415
20249624,프로젝트 Y,2026-01-21,20260108
20249843,우리에게는 아직 내일이 있다,2026-03-04,20260310
20250112,극장판 총집편 걸즈 밴드 크라이 청춘광주곡,2026-01-28,20260128
20250115,굿 포츈,2026-01-07,20260107
20250188,하트맨,2026-01-14,20260110
20250299,고고다이노 극장판: 곤충세계 대모험,2026-01-14,20260117
20250301,판결,2026-02-25,20260223
20250365,햄넷,2026-02-25,20260225
20250411,미야자키 하야오의 그대들은 어떻게 살 것인가,2026-04-15,20260421
20250413,다이 마이 러브,2026-03-04,20260304
20250428,센티멘탈 밸류,2026-02-18,20260219
20250438,끝이 없는 스칼렛,2026-01-14,20260114
20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,20260114
20250489,슈퍼걸,2026-06-24,20260624
20250563,정글비트 2,2026-01-29,20260201
20250604,극장판 엉덩이 탐정: 스타 앤드 문,2026-02-07,20260207
20250644,직장상사 길들이기,2026-01-28,20260128
20250654,오디세이,2026-08-05,20260723
20250655,디스클로저 데이,2026-06-10,20260610
20250686,하우스메이드,2026-01-28,20260128
20250840,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,2026-02-12,20260212
20250875,우리는 매일매일,2026-03-04,20260304
20250878,노 머시: 90분,2026-02-04,20260204
20252373,넘버원,2026-02-11,20260203
20252402,군체,2026-05-21,20260518
20252432,주토피아 2,2025-11-26,20260101
20252801,교생실습,2026-05-13,20260513
20253101,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,20260313
20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,20260325
20254121,살목지,2026-04-08,20260324
20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,20260101
20254501,F1 더 무비,2025-06-25,20260311
20255484,오케이 마담2,2026-08-12,20260727
20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,20260101
20256283,호퍼스,2026-03-04,20260301
20256396,아바타: 불과 재,2025-12-17,20260101
20256757,극장판 체인소 맨: 레제편,2025-09-24,20260401
20257100,산양들,2026-07-29,20260730
20257521,프로텍터,2026-03-25,20260325
20257744,28년 후: 뼈의 사원,2026-02-27,20260227
20257823,폭풍의 언덕,2026-02-11,20260211
20258074,아르코,2026-03-11,20260303
20258236,만달로리안과 그로구,2026-05-27,20260527
20258272,톰과 제리: 황금나침반 대소동,2026-01-01,20260101
20258324,731,2026-01-21,20260121
20258325,스노우 폭스 : 마법의 돌을 찾아서,2026-01-10,20260110
20258444,브라이드!,2026-03-04,20260304
20258725,순례자들은 왜 돌아오지 않는가,2026-06-03,20260611
20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,20260101
20258837,뒷자리에 태워줘,2026-05-27,20260527
20258885,프라이메이트,2026-01-28,20260128
20258945,너만 보이는 날,2026-06-24,20260616
20259250,피렌체,2026-01-07,20260107
20259339,힌드의 목소리,2026-04-15,20260415
20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,20260101
20259551,파리의 사생활,2026-07-15,20260716
20259552,시라트,2026-01-21,20260122
20259563,파더 마더 시스터 브라더,2025-12-31,20260107
20259583,초속 5센티미터,2026-02-25,20260225
20259584,마이 선샤인,2026-01-07,20260107
20259598,두 검사,2026-04-01,20260407
20259626,마이클,2026-05-13,20260430
20259641,송 썽 블루,2026-01-14,20260105
20259773,슈퍼 마리오 갤럭시,2026-04-29,20260429
20259781,토이 스토리 5,2026-06-17,20260611
20259791,악마는 프라다를 입는다 2,2026-04-29,20260427
20259893,화양연화 특별판,2025-12-31,20260101
20259946,모아나,2026-07-08,20260708
20261041,스트레이 키즈 : 더 도미네이트 익스피리언스,2026-02-04,20260204
20261150,점보,2026-02-18,20260218
20261181,너자 2,2026-02-25,20260223
20261208,귀신 부르는 앱: 영,2026-02-18,20260218
20261410,키퍼,2026-07-08,20260708
20261421,나무의 노래, ,20260715
20261437,녹나무의 파수꾼,2026-03-18,20260318
20261439,"2024.12.03 그날 조작된 내란, 감춰진 진실",2026-02-04,20260204
20261450,슬라이드 스트럼 뮤트,2026-02-26,20260226
20261467,시크릿 에이전트,2026-07-08,20260708
20261524,짝사랑 세계,2026-06-24,20260624
20261526,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-04,20260204
20261621,엔하이픈 [워크 더 라인 썸머 에디션] 인 시네마,2026-02-27,20260227
20261622,위 리브 인 타임,2026-04-08,20260408
20261666,네가 마지막으로 남긴 노래,2026-04-01,20260401
20261694,투어스 브이알 콘서트 : 러쉬로드,2026-03-04,20260309
20261766,상자 속의 양,2026-06-10,20260528
20261782,프로젝트 헤일메리,2026-03-18,20260318
20261784,미니언즈 & 몬스터즈,2026-07-15,20260715
20261804,폭탄,2026-03-18,20260318
20261906,명탐정 코난: 세기말의 마술사,2026-03-27,20260321
20261927,스페셜즈,2026-03-13,20260315
20261943,올 그린스,2026-05-06,20260506
20262101,킬 빌: 더 홀 블러디 어페어,2026-04-01,20260401
20262179,펫 트레인,2026-03-28,20260328
20262291,뮤지컬 장수탕 선녀님,2026-03-26,20260328
20262343,크라임 101,2026-04-08,20260408
20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,20260721
20262383,쉘터,2026-04-15,20260415
20262463,오피셜히게단디즘 라이브 앳 스타디움 2025,2026-04-02,20260402
20262639,노멀,2026-04-17,20260417
20262648,런닝맨: 라이트&쉐도우,2026-04-11,20260411
20262651,하나 코리아,2026-07-08,20260708
20262657,리 크로닌의 미이라,2026-04-22,20260422
20262685,란 12.3,2026-04-22,20260422
20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,20260728
20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,2026-04-22,20260422
20262776,르누아르,2026-04-22,20260422
20262811,"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",2026-04-16,20260416
20262902,다윗,2026-07-10,20260705
20262906,극장판 반짝반짝 달님이: 싱어롱 파티,2026-05-01,20260503
20262907,고트: 더 레전드,2026-04-17,20260417
20262947,모탈 컴뱃 2,2026-05-06,20260506
20262972,남태령,2026-05-20,20260526
20262975,신극장판 은혼: 요시와라 대염상,2026-05-20,20260520
20263030,백룸,2026-05-27,20260527
20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,20260523
20263253,극장판 내 마음의 위험한 녀석,2026-05-21,20260521
20263262,맘보 점보,2026-06-03,20260609
20263272,돌핀보이: 푸른 바다의 수호자,2026-06-03,20260603
20263327,사랑의 하츄핑 특별판,2026-05-01,20260501
20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,2026-05-20,20260520
20263363,리마인더스 오브 힘,2026-05-27,20260521
20263512,이상한 과자 가게 전천당,2026-05-29,20260529
20263521,카드캡터 체리 극장판,2026-05-28,20260528
20263530,마티 슈프림,2026-07-01,20260701
20263644,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,2026-05-27,20260527
20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,20260603
20263941,마스터즈 오브 유니버스,2026-06-05,20260605
20263948,에픽: 엘비스 프레슬리 콘서트,2026-07-01,20260618
20264027,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,20260701
20264056,그린랜드 2: 마이그레이션,2026-07-01,20260701
20264148,어떻게 해야 했을까?,2026-07-29,20260729
20264226,쏜애플 '나의 세기' 익스텐디드 플레이 필름, ,20260610
20264241,정동원 팬콘서트 필름 : 다시 만나는 길,2026-06-26,20260626
20264331,디어 마이 히어로, ,20260614
20264352,앤팀 브이알 콘서트 : 바운드리스,2026-06-26,20260706
20264427,극장판 암살교실 모두의 시간,2026-07-01,20260701
20264665,드림 애니멀즈: 더무비,2026-07-24,20260720
20264718,블리치 천년혈전 편 : 화진담,2026-07-04,20260717
20264753,호컴,2026-07-22,20260722
