월,순위,영화명,개봉일,매출액,점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2026-07,1,호프,2026-07-15,40839368980,38.3%,40839368980,3774775,3774775,2424,118860,한국,한국,메가박스중앙(주)  플러스엠 엔터테인먼트
2026-07,2,토이스토리5,2026-06-17,12105993510,11.4%,29635561740,1180414,2880444,1496,59087,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-07,3,눈동자,2026-06-24,11914396400,11.2%,15782633650,1146977,1530014,1177,62678,한국,한국,"(주)바이포엠스튜디오,이화배컴퍼니(주)"
2026-07,4,스파이더맨:브랜드뉴데이,2026-07-29,11558890890,10.8%,11558890890,1131219,1131219,2304,17935,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2026-07,5,모아나,2026-07-08,10265992680,9.6%,10265992680,962827,962827,1449,56051,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-07,6,미니언즈&몬스터즈,2026-07-15,6533687660,6.1%,6533687660,648695,648695,1043,34063,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-07,7,다윗,2026-07-10,2262963920,2.1%,2324549920,231394,238365,669,12111,남아프리카공화국,"남아프리카공화국,미국",롯데컬처웍스(주)롯데엔터테인먼트
2026-07,8,군체,2026-05-21,2187448750,2.1%,62711373690,207731,5951953,711,17540,한국,한국,(주)쇼박스
2026-07,9,마티슈프림,2026-07-01,1357085580,1.3%,1380341580,126227,127644,738,11305,미국,미국,"(주)마인드마크,(주)하이브미디어코프"
2026-07,10,와일드씽,2026-06-03,847947630,0.8%,12991627040,91822,1345426,606,9762,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2026-06,1,군체,2026-05-21,23054840830,28.4%,60523924940,2269305,5744222,1811,117243,한국,한국,(주)쇼박스
2026-06,2,토이스토리5,2026-06-17,17529568230,21.6%,17529568230,1700030,1700030,1847,81440,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-06,3,와일드씽,2026-06-03,11955341500,14.7%,12143679410,1233623,1253604,1351,79641,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2026-06,4,백룸,2026-05-27,8218037980,10.1%,12423496240,773237,1164295,908,42972,미국,미국,"(주)바이포엠스튜디오,리바이브콘텐츠  주식회사"
2026-06,5,눈동자,2026-06-24,3868237250,4.8%,3868237250,383037,383037,955,18914,한국,한국,"(주)바이포엠스튜디오,이화배컴퍼니(주)"
2026-06,6,디스클로저데이,2026-06-10,2764124330,3.4%,2764124330,257210,257210,1072,23193,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-06,7,마이클,2026-05-13,2351358100,2.9%,17843071230,227959,1622887,694,14766,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-06,8,슈퍼걸,2026-06-24,1282409750,1.6%,1282409750,124203,124203,883,15061,미국,미국,워너브러더스  코리아(주)
2026-06,9,만달로리안과그로구,2026-05-27,1340610860,1.6%,2764055450,111549,228269,641,7215,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-06,10,이상한과자가게전천당,2026-05-29,916951090,1.1%,1482118890,102996,163417,537,6372,한국,한국,메가박스중앙(주)  플러스엠 엔터테인먼트
2026-05,1,군체,2026-05-21,37469084110,33.3%,37469084110,3474917,3474917,2110,90428,한국,한국,(주)쇼박스
2026-05,2,슈퍼마리오갤럭시,2026-04-29,14580361080,12.9%,15597084100,1495847,1606327,1847,63900,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-05,3,마이클,2026-05-13,15421057130,13.7%,15491713130,1387926,1394928,1734,72294,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-05,4,악마는프라다를입는다2,2026-04-29,13826765260,12.3%,16064374770,1332199,1585405,1418,78131,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-05,5,살목지,2026-04-08,10354093880,9.2%,33294247700,1000000,3238028,1349,57274,한국,한국,(주)쇼박스
2026-05,6,백룸,2026-05-27,4205458260,3.7%,4205458260,391058,391058,1014,9810,미국,미국,"(주)바이포엠스튜디오,리바이브콘텐츠  주식회사"
2026-05,7,프로젝트헤일메리,2026-03-18,3976565470,3.5%,32825135990,340539,2894054,608,16409,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2026-05,8,짱구,2026-04-22,1858489090,1.6%,4011092740,186394,410991,535,12875,한국,한국,(주)바이포엠스튜디오
2026-05,9,왕과사는남자,2026-02-04,1418156470,1.3%,163017922530,147973,16889054,424,9756,한국,한국,(주)쇼박스
2026-05,10,만달로리안과그로구,2026-05-27,1423444590,1.3%,1423444590,116720,116720,809,8267,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-04,1,살목지,2026-04-08,22831771120,34.0%,22940153820,2227418,2238028,1511,105552,한국,한국,(주)쇼박스
2026-04,2,프로젝트헤일메리,2026-03-18,14762238550,22.0%,28848570520,1318794,2553515,1401,77027,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2026-04,3,왕과사는남자,2026-02-04,9809912600,14.6%,161599766060,1009270,16741081,1408,80532,한국,한국,(주)쇼박스
2026-04,4,악마는프라다를입는다2,2026-04-29,2237609510,3.3%,2237609510,253206,253206,1578,12371,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-04,5,짱구,2026-04-22,2152603650,3.2%,2152603650,224597,224597,878,13994,한국,한국,(주)바이포엠스튜디오
2026-04,6,내이름은,2026-04-15,1611438370,2.4%,1611438370,181015,181015,694,17022,한국,한국,"씨제이  씨지브이(CJ CGV)(주),와이드 릴리즈(주)"
2026-04,7,란12.3,2026-04-22,1629144830,2.4%,1629144830,161945,161945,842,14003,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2026-04,8,슈퍼마리오갤럭시,2026-04-29,1016723020,1.5%,1016723020,110480,110480,1166,8186,미국,미국,유니버설픽쳐스인터내셔널  코리아(유)
2026-04,9,끝장수사,2026-04-02,826192120,1.2%,831997120,89858,90503,689,11381,한국,한국,(주)에이스메이커무비웍스
2026-04,10,네가마지막으로남긴노래,2026-04-01,803282940,1.2%,820008240,79989,81542,593,10229,일본,일본,"(주)넥스트엔터테인먼트월드(NEW),(주)팬엔터테인먼트"
2026-03,1,왕과사는남자,2026-02-04,78046959370,68.4%,151789853460,8064631,15731811,2262,230629,한국,한국,(주)쇼박스
2026-03,2,프로젝트헤일메리,2026-03-18,14086331970,12.3%,14086331970,1234721,1234721,1350,53409,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2026-03,3,호퍼스,2026-03-04,7017060940,6.2%,7027671940,711999,712810,1013,42868,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
2026-03,4,휴민트,2026-02-11,2177210730,1.9%,19995500310,213864,1981374,784,16907,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2026-03,5,삼악도,2026-03-11,850819000,0.7%,851323000,92199,92271,235,7543,한국,한국,TCO(주)더콘텐츠온
2026-03,6,극장판진격의거인완결편더라스트어택,2025-03-13,870326850,0.8%,10651687720,72093,1022357,182,2910,일본,일본,(주)애니플러스
2026-03,7,신의악단,2025-12-31,568427990,0.5%,13741407700,62098,1443300,327,3965,한국,한국,씨제이  씨지브이(CJ CGV)(주)
2026-03,8,메소드연기,2026-03-18,550391880,0.5%,552806880,59763,59984,519,6442,한국,한국,(주)바이포엠스튜디오
2026-03,9,명탐정코난:세기말의마술사,2026-03-27,617723900,0.5%,617723900,58930,58930,252,2910,일본,일본,(주)씨제이이엔엠
2026-03,10,F1더무비,2025-06-25,638844460,0.6%,55580538830,46224,5261209,168,2266,미국,미국,워너브러더스  코리아(주)
2026-02,1,왕과사는남자,2026-02-04,73493037620,62.0%,73742894090,7641781,7667180,2165,179807,한국,한국,(주)쇼박스
2026-02,2,휴민트,2026-02-11,17802011580,15.0%,17818289580,1766508,1767510,1520,74117,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2026-02,3,신의악단,2025-12-31,4901114260,4.1%,13172979710,512586,1381202,893,26420,한국,한국,씨제이  씨지브이(CJ CGV)(주)
2026-02,4,만약에우리,2025-12-31,3430645850,2.9%,25465066210,339554,2598458,923,26127,한국,한국,(주)쇼박스
2026-02,5,넘버원,2026-02-11,2523309980,2.1%,2530164980,263905,264607,652,17255,한국,한국,(주)바이포엠스튜디오
2026-02,6,"2024.12.03그날조작된내란,감춰진진실",2026-02-04,2058951680,1.7%,2081305680,209908,211976,419,8640,한국,한국,루디아코프
2026-02,7,노머시:90분,2026-02-04,903168230,0.8%,966612230,93835,100713,595,9840,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2026-02,8,아바타:불과재,2025-12-17,1092653920,0.9%,78888474740,87313,6742714,614,6334,미국,미국,월트디즈니컴퍼니코리아  유한책임회사
