영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
군체,COLONY,2025,한국,장편,"액션,스릴러",개봉,연상호,"주식회사 와우포인트,주식회사 스마일게이트,미드나잇스튜디오 주식회사"
내이름은,My Name,2025,한국,장편,드라마,개봉,정지영,"㈜렛츠필름,(주)아우라픽처스"
눈동자,THE  EYES,2025,한국,장편,스릴러,개봉,염지호,(주)드림캡쳐
와일드씽,Wild Sing,2025,한국,장편,코미디,개봉,손재곤,(주)어바웃필름
살목지,Salmokji : Whispering Water,2025,한국,장편,"공포(호러),스릴러",개봉,이상민,더램프스튜디오(주)
넘버원,,2025,한국,장편,드라마,개봉,김태용,"주식회사 세미콜론스튜디오,스튜디오더블엠 주식회사"
휴민트,HUMINT,2025,한국,장편,"액션,드라마",개봉,류승완,(주)외유내강
왕과사는남자,The King's Warden,2025,한국,장편,"사극,드라마",개봉,장항준,"(주)온다웍스,(주)비에이엔터테인먼트"
프로젝트Y,PROJECT Y,2025,한국,장편,"범죄,드라마",개봉,이환,"클라이맥스 스튜디오(주),주식회사 와우포인트"
하트맨,Heartman: Rock and Love,2025,한국,장편,코미디,개봉,최원섭,"(주)무비락,(주)라이크엠컴퍼니"
삼악도,Samakdo,2025,한국,장편,"미스터리,공포(호러)",개봉,채기준,㈜영화사 주단
슈퍼걸,Supergirl,2026,미국,장편,"액션,어드벤처",개봉,크레이그 질레스피,
백룸,Backrooms,2026,미국,장편,"공포(호러),스릴러",개봉,케인 파슨스,
토이스토리5,Toy Story 5,2026,미국,장편,"애니메이션,어드벤처,코미디",개봉,앤드류 스탠튼,
이상한과자가게전천당,,2026,한국,장편,"판타지,드라마",개봉,박봉섭,(주)빅오션이엔엠
디스클로저데이,Disclosure Day,2026,미국,장편,"SF,미스터리",개봉,스티븐 스필버그,
짱구,Audition 109,2025,한국,장편,드라마,개봉,"정우,오성호",(주)팬엔터테인먼트
만달로리안과그로구,STAR WARS: THE MANDALORIAN AND GROGU,2026,미국,장편,"액션,어드벤처",개봉,존 파브로,
마이클,Michael,2026,미국,장편,드라마,개봉,안톤 후쿠아,
란12.3,RAN 12.3 ,2026,한국,장편,다큐멘터리,개봉,이명세,㈜프로덕션에므
악마는프라다를입는다2,The Devil Wears Prada 2,2026,미국,장편,드라마,개봉,데이빗 프랭클,
슈퍼마리오갤럭시,THE SUPER MARIO GALAXY MOVIE,2026,미국,장편,애니메이션,개봉,"아론 호바스,마이클 젤레닉",
끝장수사,THE ULTIMATE DUO,2026,한국,장편,"범죄,액션",개봉,박철환,"청년필름(주),주식회사 이안픽처스"
네가마지막으로남긴노래,The Last song You Left Behind,2026,일본,장편,멜로/로맨스,개봉,미키 타카히로,
명탐정코난:세기말의마술사,Detective Conan the Movie: The Last Wizard of the Century,1999,일본,장편,애니메이션,개봉,코다마 켄지,
프로젝트헤일메리,PROJECT HAIL MARY,2026,미국,장편,SF,개봉,필 로드,
메소드연기,METHOD ACTING,2024,한국,장편,"드라마,코미디",개봉,이기혁,(주)런업컴퍼니
호퍼스,HOPPERS,2026,미국,장편,애니메이션,개봉,다니엘 총,
귀신부르는앱:영,,2025,한국,장편,"공포(호러),스릴러",개봉,,(주)하트피플
"2024.12.03그날조작된내란,감춰진진실",,2026,한국,장편,다큐멘터리,개봉,,
아이엠스타!X프리파라더무비-만남의기적!-,Aikatsu! Pripara THE MOVIE -Miraculous Meeting!- ,2025,일본,장편,애니메이션,개봉,오오카와 타카히로,
노머시:90분,Mercy,2025,미국,장편,스릴러,개봉,티무르 베크맘베토브,
"신비아파트10주년극장판:한번더,소환",Shinbi's Haunted House: One More Summon,2025,한국,장편,애니메이션,개봉,최우석,(주)씨제이이엔엠
스폰지밥무비:네모바지를찾아서,The SpongeBob Movie: Search for SquarePants,2025,미국,장편,애니메이션,개봉,데릭 드라이먼,
