영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
군체,COLONY,2025,한국,장편,"액션,스릴러",개봉,연상호,"주식회사 와우포인트,주식회사 스마일게이트,미드나잇스튜디오 주식회사"
미스매치,MISMATCH,2026,한국,장편,"코미디,가족",개봉,손태웅,(주)노시스컴퍼니
내 이름은,My Name,2025,한국,장편,드라마,개봉,정지영,"㈜렛츠필름,(주)아우라픽처스"
극장의 시간들,Time of Cinema,2025,한국,장편,드라마,개봉,"이종필,윤가은,장건재",(주)티캐스트
눈동자,THE  EYES,2025,한국,장편,스릴러,개봉,염지호,(주)드림캡쳐
와일드 씽,Wild Sing,2025,한국,장편,코미디,개봉,손재곤,(주)어바웃필름
살목지,Salmokji : Whispering Water,2025,한국,장편,"공포(호러),스릴러",개봉,이상민,더램프스튜디오(주)
넘버원,,2025,한국,장편,드라마,개봉,김태용,"주식회사 세미콜론스튜디오,스튜디오더블엠 주식회사"
휴민트,HUMINT,2025,한국,장편,"액션,드라마",개봉,류승완,(주)외유내강
왕과 사는 남자,The King's Warden,2025,한국,장편,"사극,드라마",개봉,장항준,"(주)온다웍스,(주)비에이엔터테인먼트"
프로젝트 Y,PROJECT Y,2025,한국,장편,"범죄,드라마",개봉,이환,"클라이맥스 스튜디오(주),주식회사 와우포인트"
하트맨,Heartman: Rock and Love,2025,한국,장편,코미디,개봉,최원섭,"(주)무비락,(주)라이크엠컴퍼니"
시스터,SISTER,2025,한국,장편,스릴러,개봉,진성문,(주)와인드업필름
여름의 카메라,Summer's camera,2025,한국,장편,"가족,드라마,멜로/로맨스",개봉,성스러운,
현재를 위하여,SOAR,2025,한국,장편,드라마,개봉,김다솜,(주)21스튜디오
삼악도,Samakdo,2025,한국,장편,"미스터리,공포(호러)",개봉,채기준,㈜영화사 주단
슈퍼걸,Supergirl,2026,미국,장편,"액션,어드벤처",개봉,크레이그 질레스피,
앤팀 브이알 콘서트 : 바운드리스,&TEAM VR CONCERT : BOUNDLESS,2026,한국,장편,드라마,개봉,김경국,(주)어메이즈브이알코리아
폴스 플랙,FALSE FLAG,2025,미국,장편,"액션,스릴러",개봉,,
방과후 퇴마클럽: 소녀들의 밤,,2026,한국,장편,"공포(호러),코미디",개봉,,(주)테이크원스튜디오
그녀들 : 완벽한 서비스,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
퀸 락 몬트리올,Queen Rock Montréal,2024,영국,장편,공연,개봉,사울 스위머,
훈련사,Wrangler,2025,한국,장편,스릴러,개봉,서은선,한국영화아카데미
정동원 팬콘서트 필름 : 다시 만나는 길,,2026,한국,장편,공연,개봉,나상인,(주)영화사 그램
사위의 거대함으로 몸보신 하는 장모님,YOMENOHAHATONO SEIKOU-2,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
남편 옆에서 낯선 남자 단백질 빼는 유부녀,IYARASI SISEIKATU,2023,일본,장편,"멜로/로맨스,드라마",개봉,,
금발이 되고 싶어,Slanted,2025,미국,장편,스릴러,개봉,,
국가초기화,,2025,한국,장편,다큐멘터리,개봉,,주식회사 킨스튜디오
여자 : 지루한 섹스는 싫어,,2025,일본,장편,멜로/로맨스,개봉,,
그 사람이 사라졌다,WHO'S GONE,2024,일본,장편,미스터리,개봉,,
노브라로 가슴치는 상사아내,,2024,일본,장편,멜로/로맨스,개봉,,
스위트홈: 진격의 거인,Home Sweet Home: Rebirth,2025,미국,장편,"공포(호러),스릴러,액션",개봉,,
킬 코드,Kill Code,2026,미국,장편,액션,개봉,저스틴 프라이스,
변태소년,pervert boy,2018,한국,장편,드라마,개봉,이상우,이상우필름
여자들 : 나 오늘 너무 하고 싶어,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
D컵의 스미레짱,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
풍만한 몸으로 나를 삼키는 밤,,2026,일본,장편,멜로/로맨스,개봉,,
타이트한 옷 아래 숨겨진 그녀,,2026,일본,장편,멜로/로맨스,개봉,카니에,
피카소. 파리에서의 반란, PICASSO. A REBEL IN PARIS. STORY OF A LIFE AND A MUSEUM,2024,이탈리아,장편,기타,개봉,,
그림자 내각,,2026,한국,장편,"다큐멘터리,드라마",개봉,,
소리없이 나빌레라,On the Wings of a Butterfly,2024,한국,장편,다큐멘터리,개봉,현진식,
신사: 악귀의 속삭임,The Shrine,2024,한국,장편,"공포(호러),미스터리",개봉,구마키리 가즈요시,(주)미스터리픽처스
충충충 ,Funky Freaky Freaks,2024,한국,장편,범죄,개봉,한창록,한국예술종합학교
패신저,PASSENGER,2026,미국,장편,"공포(호러),스릴러,미스터리",개봉,안드레 외브레달,파라마운트 픽쳐스
짝사랑 세계,Unreachable,2025,일본,장편,"드라마,멜로/로맨스",개봉,도이 노부히로,
정뱅이,Jeongbaengi,2026,한국,장편,다큐멘터리,개봉,오정훈,
사무라이 타임슬리퍼,A Samurai in Time,2024,일본,장편,드라마,개봉,,
리브 원 데이,LEAVE ONE DAY,2025,프랑스,장편,멜로/로맨스,개봉,,
너만 보이는 날,Welcome to My Side,2024,중국,장편,멜로/로맨스,개봉,,
뒷자리에 태워줘,Pillion,2025,영국,장편,드라마,개봉,,
관념의 남자 김철수,A Wishy Washy Man,2024,한국,장편,"가족,코미디,드라마",개봉,"이재리,차시윤",(주)타이거시네마
이인,A WATER[S],2024,한국,장편,드라마,개봉,김경래,
드림하이: 쇼뮤지컬 온 스테이지,Dream High: Show Musical on Stage,2026,한국,장편,공연,개봉,"김용문,장성일",(주)위즈온센
젖은 속살로 나를 부르는 그녀,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
잘 세우는 그녀의 손길,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
양기 빠는 그녀의 입,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
숨겨진 욕망이 터져 나오는 순간,,2026,일본,장편,멜로/로맨스,개봉,사루,
손끝으로 나를 녹여버리는 그녀,,2026,일본,장편,멜로/로맨스,개봉,,
밤마다 찾아오는 그녀의 뜨거운 유혹,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
미모의 풍만녀와 비밀관계,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
모든 걸 품어주는 그녀의 풍만거유 ,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
땀으로 범벅된 그녀와의 관계,,2026,일본,장편,멜로/로맨스,개봉,,
이반리 장만옥,Manok,2025,한국,장편,"코미디,드라마",개봉,이유진,
달콤한 그녀의 샘물,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
금단의 침실에서 만난 그녀,,2026,일본,장편,멜로/로맨스,개봉,사루,
그녀는 정기털이범,,2026,일본,장편,멜로/로맨스,개봉,나카노 야요이,
오늘 한번 줘라 ,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
백룸,Backrooms,2026,미국,장편,"공포(호러),스릴러",개봉,케인 파슨스,
페루지노. 영원한 르네상스,Perugino. Eternal Renaissance,2023,이탈리아,장편,다큐멘터리,개봉,,
위대한 환상,THE ILLUSION,2025,이탈리아,장편,"전쟁,드라마",개봉,로베르토 안도,
킬러 대 킬러 대 킬러,Exit Protocol,2025,미국,장편,"액션,드라마,스릴러",개봉,,
토이 스토리 5,Toy Story 5,2026,미국,장편,"애니메이션,어드벤처,코미디",개봉,앤드류 스탠튼,
어느 파리 택배기사의 48시간,Souleymane's Story,2024,프랑스,장편,드라마,개봉,보리스 로즈킨,
납치 48시간,The Guardian,2024,한국,장편,액션,개봉,정장환,윌스튜디오 주식회사
교생실습,Teaching Practice : Idiot Girls and School Ghost,2025,한국,장편,"코미디,공포(호러)",개봉,김민하,"(주)26컴퍼니,(주)콘텐츠지"
이상한 과자 가게 전천당,,2026,한국,장편,"판타지,드라마",개봉,박봉섭,(주)빅오션이엔엠
복수에 자비란 없다,Relentless,2025,미국,장편,"액션,스릴러",개봉,,
현상수배,Wanted,2026,"한국,대만",장편,"코미디,액션",개봉,신재호,주식회사 쇼타임웍스
울프 토템,Wolf Totem,2015,중국,장편,어드벤처,개봉,장 자끄 아노,
상자 속의 양,Sheep in The Box,2025,일본,장편,"드라마,SF",개봉,고레에다 히로카즈,
디스클로저 데이,Disclosure Day,2026,미국,장편,"SF,미스터리",개봉,스티븐 스필버그,
극장판 전생했더니 슬라임이었던 건에 대하여 창해의 눈물편,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,2026,일본,장편,애니메이션,개봉,키쿠치 야스히토,
최후의 만찬,THE LAST SUPPER,2025,미국,장편,드라마,개봉,,
투어스 브이알 콘서트 : 러쉬로드,TWS VR CONCERT : RUSH ROAD,2026,한국,장편,"드라마,공연",개봉,김지애,(주)어메이즈브이알코리아
사토상과 사토상,Sato and Sato,2025,일본,장편,드라마,개봉,,
남태령,The Longest Night: Namtaeryeong,2026,한국,장편,다큐멘터리,개봉,김현지,MBC경남
돌핀보이: 푸른 바다의 수호자,Dolphin Boy 2,2026,독일,장편,애니메이션,개봉,,
짱구,Audition 109,2025,한국,장편,드라마,개봉,"정우,오성호",(주)팬엔터테인먼트
마스터즈 오브 유니버스,Masters of the Universe,2026,미국,장편,"액션,어드벤처,판타지,SF",개봉,트래비스 나이트,
쇼타씨의 마지막 출장,Mr Shota’s Last Business Trip,2025,한국,장편,드라마,개봉,이주형,소나기픽처스
푸틴: 절대 권력의 최후,,2024,폴란드,장편,"드라마,범죄",개봉,파트릭 베가,
플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,2026,한국,장편,공연,개봉,,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오"
순례자들은 왜 돌아오지 않는가,Pilgrims,2025,한국,장편,애니메이션,개봉,,(주)21스튜디오
맘보 점보,Mumbo Jumbo,2026,덴마크,장편,애니메이션,개봉,,
고독의 오후,Afternoons of Solitude,2024,"프랑스,포르투갈,스페인",장편,다큐멘터리,개봉,,
뚫려버린 그녀의 꽃잎,,2026,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
한 번만 줘!,,2025,한국,장편,멜로/로맨스,개봉,김태수,(주)까멜리아이엔티
동생아내 : 남편보다 아주버님이 더 잘해요,,2025,일본,장편,멜로/로맨스,개봉,,
여자들 : 절대 잊을 수 없는 섹스,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
몰래한 불륜 : 유부녀들,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
